"Date","Day","Fajr","Shuruq","Dhuha","Dhuhr","'Asr","Maghrib","Isha'","Qibla Hour"
"01/11/2020","Sunday","05:40","07:10","07:42","12:28","15:15","17:39","19:06","13:57"
"02/11/2020","Monday","05:41","07:11","07:43","12:28","15:15","17:38","19:05","13:58"
"03/11/2020","Tuesday","05:42","07:12","07:44","12:28","15:14","17:37","19:04","13:58"
"04/11/2020","Wednesday","05:43","07:13","07:46","12:28","15:13","17:36","19:03","13:59"
"05/11/2020","Thursday","05:44","07:14","07:47","12:28","15:12","17:35","19:02","13:59"
"06/11/2020","Friday","05:45","07:16","07:48","12:28","15:11","17:34","19:01","14:00"
"07/11/2020","Saturday","05:46","07:17","07:49","12:28","15:10","17:33","19:00","14:00"
"08/11/2020","Sunday","05:47","07:18","07:51","12:28","15:09","17:32","18:59","14:01"
"09/11/2020","Monday","05:48","07:19","07:52","12:28","15:08","17:30","18:59","14:01"
"10/11/2020","Tuesday","05:49","07:20","07:53","12:28","15:08","17:30","18:58","14:02"
"11/11/2020","Wednesday","05:50","07:21","07:54","12:28","15:07","17:29","18:57","14:02"
"12/11/2020","Thursday","05:51","07:23","07:56","12:28","15:06","17:28","18:56","14:03"
"13/11/2020","Friday","05:52","07:24","07:57","12:28","15:05","17:27","18:55","14:03"
"14/11/2020","Saturday","05:53","07:25","07:58","12:28","15:05","17:26","18:55","14:04"
"15/11/2020","Sunday","05:54","07:26","07:59","12:29","15:04","17:25","18:54","14:05"
"16/11/2020","Monday","05:55","07:27","08:01","12:29","15:04","17:24","18:53","14:06"
"17/11/2020","Tuesday","05:56","07:28","08:02","12:29","15:03","17:23","18:53","14:06"
"18/11/2020","Wednesday","05:57","07:30","08:03","12:29","15:02","17:23","18:52","14:06"
"19/11/2020","Thursday","05:58","07:31","08:04","12:29","15:02","17:22","18:52","14:07"
"20/11/2020","Friday","05:59","07:32","08:06","12:30","15:01","17:21","18:51","14:08"
"21/11/2020","Saturday","06:00","07:33","08:07","12:30","15:01","17:21","18:51","14:09"
"22/11/2020","Sunday","06:01","07:34","08:08","12:30","15:00","17:20","18:50","14:09"
"23/11/2020","Monday","06:02","07:35","08:09","12:30","15:00","17:20","18:50","14:09"
"24/11/2020","Tuesday","06:03","07:36","08:11","12:31","15:00","17:19","18:49","14:11"
"25/11/2020","Wednesday","06:04","07:37","08:12","12:31","14:59","17:18","18:49","14:11"
"26/11/2020","Thursday","06:04","07:39","08:13","12:31","14:59","17:18","18:49","14:11"
"27/11/2020","Friday","06:05","07:40","08:14","12:32","14:59","17:18","18:48","14:13"
"28/11/2020","Saturday","06:06","07:41","08:15","12:32","14:58","17:17","18:48","14:13"
"29/11/2020","Sunday","06:07","07:42","08:16","12:32","14:58","17:17","18:48","14:13"
"30/11/2020","Monday","06:08","07:43","08:17","12:33","14:58","17:17","18:48","14:15"